,Frame No,Car Details
225,818,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016998000000000957}"
226,819,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016389700000004837}"
227,820,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01727410000000873}"
228,821,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017184699999987174}"
229,822,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.018703500000000872}"
230,823,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01687409999999545}"
231,824,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01650990000000263}"
232,825,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016854399999999714}"
233,841,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.0161453999999992}"
234,844,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.015975499999996146}"
235,847,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01730100000000334}"
236,848,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01707269999999994}"
237,850,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01656640000000209}"
238,851,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017150899999990088}"
239,852,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01832459999999969}"
240,854,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01660739999999805}"
241,855,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.020873499999993328}"
242,856,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01711219999999969}"
243,857,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016976499999998396}"
244,858,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017988299999998958}"
245,874,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.017656899999991538}"
246,875,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016425799999993274}"
247,877,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016335400000002664}"
248,878,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.0166435000000007}"
249,879,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.018178299999988212}"
250,880,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01724160000000552}"
251,881,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016475300000010407}"
252,882,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.01814599999998734}"
253,883,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01627479999999082}"
254,884,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01945639999999571}"
255,885,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01725940000000037}"
256,886,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01793130000000076}"
257,887,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.0171574000000021}"
258,888,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016855500000005463}"
259,889,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017370200000002}"
260,890,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016765399999997044}"
261,891,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016830699999999865}"
262,892,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01681190000000754}"
263,893,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01747500000000457}"
264,894,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017158999999992375}"
265,895,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017104500000002076}"
266,896,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017277599999999893}"
267,897,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017027699999999868}"
268,898,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01902950000000203}"
269,931,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016436799999993923}"
270,932,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01698739999999077}"
271,933,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016363699999999426}"
272,934,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017259500000008643}"
273,935,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.016952500000002146}"
274,936,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017233099999998558}"
275,937,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017091800000002877}"
276,938,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017100299999995627}"
277,939,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.017652200000000562}"
278,940,"{'count': 1, 'Hatchback': 1, 'red': 1, 'time': 0.016982600000005732}"
279,941,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01955270000000553}"
280,942,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.019135599999998476}"
281,943,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.01749390000000517}"
282,944,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.018503600000002507}"
283,945,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.01886650000000145}"
284,946,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.01682040000000029}"
285,947,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.017737400000001458}"
286,948,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.01847209999999677}"
287,949,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.01672290000000487}"
288,950,"{'count': 2, 'Sedan': 1, 'white': 1, 'time': 0.017764499999998407}"
289,951,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.019063500000001454}"
290,952,"{'count': 2, 'Hatchback': 1, 'red': 1, 'time': 0.017606499999999414}"
291,953,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.018316200000001004}"
292,954,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.017548699999991868}"
293,955,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.016870499999996014}"
294,956,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.01765839999998775}"
295,957,"{'count': 2, 'Sedan': 1, 'red': 1, 'time': 0.017571700000004853}"
296,958,"{'count': 2, 'Sedan': 1, 'white': 1, 'time': 0.01896840000000566}"
297,959,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016651899999999387}"
298,960,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016574199999993766}"
299,961,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.017124300000006087}"
300,962,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016573399999998628}"
301,963,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.018118400000005863}"
302,1041,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.01645590000001107}"
303,1043,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016977300000007745}"
304,1044,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017876700000002188}"
305,1045,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.017075300000001903}"
306,1046,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.01745750000000612}"
